alpha,g0_over_omega_rabi0,g0,v_low,oscillator_ratio,max_high_population,final_high_population,F_X,t_gate,passes_leakage,passes_fidelity,passes_both
3.0,0.03,0.0024,0.32,4.5,5.316909448406353e-05,3.410348762753327e-07,0.9991744122902896,22.21441469079183,1,1,1
3.0,0.03,0.0024,0.32,5.5,2.386334833500622e-05,4.108072030879942e-06,0.9971351573070396,22.21441469079183,1,0,0
3.0,0.03,0.0024,0.32,7.0,9.117654783587476e-06,3.566299446861942e-08,0.9997329303920419,22.21441469079183,1,1,1
3.0,0.03,0.0024,0.42,2.4,8.509419534961814e-06,3.748460501181181e-08,0.99972632575484,25.449809209923146,1,1,1
3.0,0.03,0.0024,0.42,3.0,3.4881292270158356e-06,3.654223740113246e-08,0.9997298009458739,25.449809209923146,1,1,1
3.0,0.03,0.0024,0.42,3.6,1.6832920557282562e-06,3.541337995195013e-08,0.9997340007008009,25.449809209923146,1,1,1
3.0,0.03,0.0024,0.42,4.5,6.897997537155304e-07,4.197491884373688e-07,0.9990837922643073,25.449809209923146,1,1,1
3.0,0.03,0.0024,0.42,5.5,3.0920079580040115e-07,2.031096523642357e-07,0.9993627812974931,25.449809209923146,1,1,1
3.0,0.03,0.0024,0.42,7.0,1.1765417320191539e-07,7.644841111380578e-10,0.999960853005035,25.449809209923146,1,1,1
3.0,0.03,0.0024,0.56,2.4,8.54956853681972e-08,3.2058480310678664e-08,0.999746885915203,29.386908396347494,1,1,1
3.0,0.03,0.0024,0.56,3.0,3.502056850616674e-08,1.2276515446734714e-09,0.9999503929031838,29.386908396347494,1,1,1
3.0,0.03,0.0024,0.56,3.6,1.6879559996206254e-08,1.5281214257428346e-08,0.999825203884087,29.386908396347494,1,1,1
3.0,0.03,0.0024,0.56,4.5,6.915849056855751e-09,1.034371849697558e-09,0.9999544535643973,29.386908396347494,1,1,1
3.0,0.03,0.0024,0.56,5.5,3.099230416515659e-09,2.5933541246610024e-09,0.9999280078721993,29.386908396347494,1,1,1
3.0,0.03,0.0024,0.56,7.0,1.181030048238882e-09,6.706679853579706e-10,0.9999634338801215,29.386908396347494,1,1,1
3.0,0.04,0.0032,0.1,2.4,0.995614031076228,0.2559766389066606,0.47850981354449346,12.418235332245127,0,0,0
3.0,0.04,0.0032,0.1,3.0,0.996013325695791,0.3578190905658076,0.4130170290073024,12.418235332245127,0,0,0
