v_low,g0_over_omega_rabi0,g0,oscillator_ratio,drag_lambda,t_gate,max_high_population,final_high_population,F_X,passes_leakage,passes_fidelity,passes_both
0.18,0.04,0.0032,7.0,-1.5,16.660811018093874,0.023785310539408244,2.128727537135987e-05,0.8721317416990223,0,0,0
0.18,0.04,0.0032,7.0,-1.0,16.660811018093874,0.02194191072667593,1.0553521760605789e-05,0.9410635664783666,0,0,0
0.18,0.04,0.0032,7.0,-0.5,16.660811018093874,0.020257829896933786,4.134399441776922e-06,0.9840050721340217,0,0,0
0.18,0.04,0.0032,7.0,0.0,16.660811018093874,0.018937779049786017,1.0003888261006234e-06,0.9985857906470619,0,0,0
0.18,0.04,0.0032,7.0,0.5,16.660811018093874,0.01851158015579108,3.94039786048855e-08,0.984005063706534,0,0,0
0.18,0.04,0.0032,7.0,1.0,16.660811018093874,0.019401772488827688,1.7878860685730375e-07,0.9410635228192759,0,0,0
0.18,0.04,0.0032,7.0,1.5,16.660811018093874,0.021007244583519494,6.343237987585678e-07,0.8721315956457248,0,0,0
0.18,0.04,0.0032,7.0,2.0,16.660811018093874,0.022890599113187127,1.2464741828654288e-06,0.7810529736212273,0,0,0
0.18,0.05,0.004,3.0,-2.0,16.660811018093874,0.983284292742548,0.5984097930150194,0.006189105816642185,0,0,0
0.18,0.05,0.004,3.0,-1.5,16.660811018093874,0.9836762109977751,0.4421222879489945,0.18310236073810582,0,0,0
0.18,0.05,0.004,3.0,-1.0,16.660811018093874,0.9259406145018613,0.10135249357622057,0.6971979655293172,0,0,0
0.18,0.05,0.004,3.0,-0.5,16.660811018093874,0.9211871334120418,0.05037707483510797,0.5582202651181776,0,0,0
0.18,0.05,0.004,3.0,0.0,16.660811018093874,0.9354963028357375,0.17710522241514112,0.3137783419839128,0,0,0
0.18,0.05,0.004,3.0,0.5,16.660811018093874,0.8911651446380868,0.13003818914304374,0.5582220063496237,0,0,0
0.18,0.05,0.004,3.0,1.0,16.660811018093874,0.8982900632080119,0.0318007939109686,0.6971990083496622,0,0,0
0.18,0.05,0.004,3.0,1.5,16.660811018093874,0.9812631346843186,0.3090999377696208,0.18310226219835257,0,0,0
0.18,0.05,0.004,3.0,2.0,16.660811018093874,0.9770598368640677,0.7848875173932656,0.006189337766697499,0,0,0
0.18,0.05,0.004,3.6,-2.0,16.660811018093874,0.8658007368169196,0.5708951538422946,0.08034019491213462,0,0,0
0.18,0.05,0.004,3.6,-1.5,16.660811018093874,0.77232182841476,0.17112878873459003,0.4085125219639946,0,0,0
0.18,0.05,0.004,3.6,-1.0,16.660811018093874,0.7036628819937502,0.02148401640620911,0.8166981458582726,0,0,0
0.18,0.05,0.004,3.6,-0.5,16.660811018093874,0.6928902329290398,0.013926929678705978,0.9019803803102572,0,0,0
0.18,0.05,0.004,3.6,0.0,16.660811018093874,0.6937463254259887,0.007620040606997504,0.8587997206936958,0,0,0
0.18,0.05,0.004,3.6,0.5,16.660811018093874,0.6274555051825859,0.017331058336620707,0.9019800554605684,0,0,0
0.18,0.05,0.004,3.6,1.0,16.660811018093874,0.5495062765254691,0.01052047920261896,0.8166978438143353,0,0,0
0.18,0.05,0.004,3.6,1.5,16.660811018093874,0.6380258595771016,0.09777267464157821,0.408513732563542,0,0,0
0.18,0.05,0.004,3.6,2.0,16.660811018093874,0.8226968210513116,0.4460699435206483,0.08034003924378309,0,0,0
0.18,0.05,0.004,4.5,-2.0,16.660811018093874,0.44675103258318677,0.06436583470642449,0.5324294112568508,0,0,0
0.18,0.05,0.004,4.5,-1.5,16.660811018093874,0.3722474613359174,0.024685107869286658,0.7522394085528418,0,0,0
0.18,0.05,0.004,4.5,-1.0,16.660811018093874,0.34283780996452184,0.0050405511678869586,0.8971692876033109,0,0,0
0.18,0.05,0.004,4.5,-0.5,16.660811018093874,0.3339698695374875,0.0005128125607500497,0.968420854581716,0,0,0
0.18,0.05,0.004,4.5,0.0,16.660811018093874,0.32115061417985036,8.543264090601651e-05,0.9888376455480323,0,0,0
0.18,0.05,0.004,4.5,0.5,16.660811018093874,0.2901395801871141,0.0002252758153240223,0.9684211939509997,0,0,0
0.18,0.05,0.004,4.5,1.0,16.660811018093874,0.23484720319855434,8.715235565137366e-05,0.8971690789170813,0,0,0
0.18,0.05,0.004,4.5,1.5,16.660811018093874,0.18467137661140778,0.0007136374385758808,0.7522402947260647,0,0,0
0.18,0.05,0.004,4.5,2.0,16.660811018093874,0.25739111471497783,0.009870240771357458,0.5324296376320371,0,0,0
0.18,0.05,0.004,5.5,-2.0,16.660811018093874,0.14448456451054661,0.0035735849243242594,0.7514236577994395,0,0,0
0.18,0.05,0.004,5.5,-1.5,16.660811018093874,0.12590793306536657,0.002700957031662476,0.8533718912147787,0,0,0
0.18,0.05,0.004,5.5,-1.0,16.660811018093874,0.11836005003966409,0.0013284980095404693,0.9275850636618153,0,0,0
0.18,0.05,0.004,5.5,-0.5,16.660811018093874,0.11446623993187639,0.00041357792645110175,0.9729533886326941,0,0,0
0.18,0.05,0.004,5.5,0.0,16.660811018093874,0.11289047510926885,6.951833076997378e-05,0.9882678049328452,0,0,0
0.18,0.05,0.004,5.5,0.5,16.660811018093874,0.1142633514796345,3.573511681552085e-06,0.9729534876222702,0,0,0
0.18,0.05,0.004,5.5,1.0,16.660811018093874,0.11530100832038385,3.6020767032270473e-05,0.9275853787193256,0,0,0
0.18,0.05,0.004,5.5,1.5,16.660811018093874,0.11387564987528033,0.00011435713619533497,0.8533720401439703,0,0,0
0.18,0.05,0.004,5.5,2.0,16.660811018093874,0.12029951019802414,0.00015905637963554983,0.7514240258788609,0,0,0
0.18,0.05,0.004,7.0,-2.0,16.660811018093874,0.05976210684333463,9.760328371773184e-05,0.8194533661517934,0,0,0
0.18,0.05,0.004,7.0,-1.5,16.660811018093874,0.05511634194442181,5.380704270850132e-05,0.8955125606520115,0,0,0
0.18,0.05,0.004,7.0,-1.0,16.660811018093874,0.05045816638342297,2.5991818668684973e-05,0.9517282631287056,0,0,0
0.18,0.05,0.004,7.0,-0.5,16.660811018093874,0.046186139173070066,1.0066256809790533e-05,0.9861864127259655,0,0,0
0.18,0.05,0.004,7.0,0.0,16.660811018093874,0.04283331857781907,2.439634654870482e-06,0.9977911965656815,0,0,0
0.18,0.05,0.004,7.0,0.5,16.660811018093874,0.041729592453952746,1.001093206586493e-07,0.9861865810382553,0,0,0
0.18,0.05,0.004,7.0,1.0,16.660811018093874,0.04388743057676173,4.7215921899813196e-07,0.9517282740359168,0,0,0
0.18,0.05,0.004,7.0,1.5,16.660811018093874,0.047585257701489886,1.7999126229562407e-06,0.8955127512042445,0,0,0
0.18,0.05,0.004,7.0,2.0,16.660811018093874,0.05174571714718222,3.99648593888892e-06,0.8194533535303388,0,0,0
0.24,0.02,0.0016,3.0,-2.0,19.23824745242796,0.0020443050978791286,6.871800208438232e-05,0.182509324619194,0,0,0
0.24,0.02,0.0016,3.0,-1.5,19.23824745242796,0.0015019055921019421,2.3581477148395e-05,0.4329959794810284,0,0,0
0.24,0.02,0.0016,3.0,-1.0,19.23824745242796,0.0012795855555959937,1.2994997888074076e-05,0.7078005177730335,0,0,0
0.24,0.02,0.0016,3.0,-0.5,19.23824745242796,0.001049063900640681,4.168643209009889e-06,0.9198430907676546,0,0,0
0.24,0.02,0.0016,3.0,0.0,19.23824745242796,0.0007827337190971237,1.9394902323408729e-07,0.9993773577717994,1,1,1
0.24,0.02,0.0016,3.0,0.5,19.23824745242796,0.0005452605526213807,2.4994659852139397e-07,0.919843098616794,1,0,0
0.24,0.02,0.0016,3.0,1.0,19.23824745242796,0.000590475537096761,1.2527772100779518e-06,0.7078023063769234,1,0,0
